bucket_start,tempf_avg,tempf_min,tempf_max,humidity_avg,humidity_min,humidity_max,dew_point_avg,dew_point_min,dew_point_max,baromrelin_avg,baromrelin_min,baromrelin_max
2026-04-11T16:00:00+00:00,74.65,74.5,74.8,79.5,79.0,80.0,67.875,67.55,68.2,30.000999999999998,30.0,30.002
2026-04-11T17:00:00+00:00,77.69,75.4,79.2,72.5,70.0,77.0,68.112,67.58,68.61,29.9865,29.979,30.0
2026-04-11T18:00:00+00:00,79.4,78.8,80.1,69.0,67.0,70.0,68.31800000000001,67.99,68.65,29.964599999999997,29.955,29.976
2026-04-11T19:00:00+00:00,83.32,83.1,83.8,59.8,59.0,61.0,67.858,67.26,68.42,29.9176,29.905,29.926
2026-04-11T20:00:00+00:00,83.03,81.7,84.4,58.1,55.0,60.0,66.741,66.14,67.98,29.8907,29.876,29.902
2026-04-11T21:00:00+00:00,80.96666666666665,80.8,81.1,58.666666666666664,57.0,60.0,65.09666666666668,64.4,65.59,29.857,29.855,29.858
2026-04-11T22:00:00+00:00,83.1,82.0,84.0,51.9,50.0,55.0,63.553999999999995,62.69,65.0,29.846300000000003,29.837,29.852
2026-04-11T23:00:00+00:00,80.45,78.8,82.4,54.6,53.0,56.0,62.565,61.25,64.06,29.8394,29.834,29.846
2026-04-12T00:00:00+00:00,77.30000000000001,75.9,78.4,59.25,56.0,62.0,61.9225,61.38,62.96,29.8445,29.84,29.846
2026-04-12T02:00:00+00:00,64.78888888888889,63.9,65.7,86.88888888888889,85.0,89.0,60.78444444444444,60.37,61.2,29.841,29.834,29.849
2026-04-12T03:00:00+00:00,63.29,63.0,63.7,90.6,89.0,92.0,60.489999999999995,60.12,60.93,29.8493,29.846,29.855
2026-04-12T04:00:00+00:00,66.71000000000001,63.9,69.3,82.1,74.0,91.0,60.996,60.65,61.36,29.8361,29.831,29.843
2026-04-12T05:00:00+00:00,69.46000000000001,69.1,69.8,73.0,72.0,74.0,60.415,59.97,60.94,29.829500000000003,29.825,29.834
2026-04-12T06:00:00+00:00,69.27000000000001,68.7,70.0,73.0,71.0,75.0,60.23,59.97,60.45,29.8247,29.822,29.828
2026-04-12T07:00:00+00:00,68.4,67.3,69.4,76.2,73.0,80.0,60.592999999999996,60.26,60.91,29.8149,29.811,29.822
2026-04-12T08:00:00+00:00,67.5,67.3,67.8,81.4,80.0,83.0,61.593999999999994,60.91,62.15,29.8182,29.811,29.822
2026-04-12T09:00:00+00:00,67.5,67.5,67.5,83.1,83.0,84.0,62.184000000000005,62.15,62.49,29.8214,29.816,29.828
2026-04-12T10:00:00+00:00,66.78,66.4,67.5,84.9,84.0,86.0,62.085,61.9,62.49,29.8277,29.825,29.831
2026-04-12T11:00:00+00:00,65.9,65.7,66.4,87.4,86.0,89.0,62.041999999999994,61.82,62.36,29.830399999999997,29.825,29.837
2026-04-12T12:00:00+00:00,66.24,65.7,67.5,89.5,88.0,90.0,63.05499999999999,62.36,63.82,29.831599999999998,29.822,29.84
2026-04-12T13:00:00+00:00,68.32000000000001,67.5,69.4,86.8,85.0,88.0,64.226,63.78,64.69,29.825,29.819,29.831
2026-04-12T14:00:00+00:00,70.72999999999999,69.4,73.0,83.6,80.0,86.0,65.5,65.02,66.45,29.806,29.799,29.819
2026-04-12T15:00:00+00:00,71.61,70.5,72.7,82.9,80.0,85.0,66.122,65.67,66.88,29.8197,29.808,29.834
2026-04-12T16:00:00+00:00,73.58571428571429,72.5,74.5,80.0,78.0,82.0,67.01857142857143,66.68,67.55,29.837857142857143,29.828,29.849
