observation_time_utc,tempf,humidity,dew_point,baromrelin
2026-04-11T16:46:00.000Z,75.2,79.0,68.23,30.005
2026-04-11T16:53:00.000Z,74.8,80.0,68.2,30.002
2026-04-11T16:59:00.000Z,74.5,79.0,67.55,30.0
2026-04-11T17:05:00.000Z,75.4,77.0,67.67,30.0
2026-04-11T17:11:00.000Z,76.1,75.0,67.58,29.994
2026-04-11T17:17:00.000Z,76.5,74.0,67.58,29.988
2026-04-11T17:23:00.000Z,78.1,71.0,67.91,29.991
2026-04-11T17:29:00.000Z,78.6,71.0,68.39,29.982
2026-04-11T17:35:00.000Z,78.1,71.0,67.91,29.985
2026-04-11T17:41:00.000Z,78.4,72.0,68.61,29.982
2026-04-11T17:46:00.000Z,77.9,73.0,68.53,29.982
2026-04-11T17:53:00.000Z,78.6,71.0,68.39,29.982
2026-04-11T17:59:00.000Z,79.2,70.0,68.55,29.979
2026-04-11T18:05:00.000Z,79.3,70.0,68.65,29.976
2026-04-11T18:11:00.000Z,79.3,70.0,68.65,29.964
2026-04-11T18:17:00.000Z,78.8,70.0,68.17,29.964
2026-04-11T18:23:00.000Z,80.1,67.0,68.13,29.964
2026-04-11T18:29:00.000Z,79.5,68.0,67.99,29.955
2026-04-11T19:35:00.000Z,83.8,59.0,67.92,29.926
2026-04-11T19:41:00.000Z,83.1,59.0,67.26,29.92
2026-04-11T19:46:00.000Z,83.3,61.0,68.42,29.923
2026-04-11T19:53:00.000Z,83.1,60.0,67.75,29.914
2026-04-11T19:59:00.000Z,83.3,60.0,67.94,29.905
2026-04-11T20:05:00.000Z,84.4,58.0,67.98,29.902
2026-04-11T20:11:00.000Z,83.5,58.0,67.14,29.902
2026-04-11T20:17:00.000Z,83.1,58.0,66.77,29.902
2026-04-11T20:23:00.000Z,82.4,59.0,66.61,29.899
2026-04-11T20:29:00.000Z,82.0,60.0,66.72,29.887
2026-04-11T20:35:00.000Z,81.7,60.0,66.44,29.89
2026-04-11T20:41:00.000Z,82.9,58.0,66.58,29.887
2026-04-11T20:46:00.000Z,84.4,55.0,66.44,29.884
2026-04-11T20:53:00.000Z,84.0,56.0,66.59,29.878
2026-04-11T20:59:00.000Z,81.9,59.0,66.14,29.876
2026-04-11T21:46:00.000Z,81.0,59.0,65.3,29.858
2026-04-11T21:53:00.000Z,80.8,60.0,65.59,29.858
2026-04-11T21:59:00.000Z,81.1,57.0,64.4,29.855
2026-04-11T22:05:00.000Z,82.0,55.0,64.21,29.852
2026-04-11T22:11:00.000Z,83.3,53.0,64.35,29.852
2026-04-11T22:17:00.000Z,84.0,53.0,65.0,29.852
2026-04-11T22:23:00.000Z,83.3,51.0,63.25,29.846
2026-04-11T22:29:00.000Z,83.3,51.0,63.25,29.849
2026-04-11T22:35:00.000Z,83.3,50.0,62.69,29.843
2026-04-11T22:41:00.000Z,83.3,50.0,62.69,29.843
2026-04-11T22:46:00.000Z,82.8,51.0,62.79,29.846
2026-04-11T22:52:00.000Z,82.8,51.0,62.79,29.843
2026-04-11T22:59:00.000Z,82.9,54.0,64.52,29.837
2026-04-11T23:05:00.000Z,82.4,54.0,64.06,29.834
2026-04-11T23:11:00.000Z,82.0,53.0,63.15,29.834
2026-04-11T23:17:00.000Z,81.7,54.0,63.41,29.837
2026-04-11T23:23:00.000Z,81.1,55.0,63.38,29.84
2026-04-11T23:29:00.000Z,80.4,54.0,62.21,29.837
2026-04-11T23:35:00.000Z,79.9,55.0,62.27,29.837
2026-04-11T23:41:00.000Z,79.7,56.0,62.59,29.846
2026-04-11T23:47:00.000Z,79.3,55.0,61.71,29.843
2026-04-11T23:52:00.000Z,79.2,55.0,61.62,29.843
2026-04-11T23:59:00.000Z,78.8,55.0,61.25,29.843
2026-04-12T00:05:00.000Z,78.4,56.0,61.38,29.84
2026-04-12T00:11:00.000Z,77.9,57.0,61.42,29.846
2026-04-12T00:17:00.000Z,77.0,62.0,62.96,29.846
2026-04-12T00:23:00.000Z,75.9,62.0,61.93,29.846
2026-04-12T02:11:00.000Z,65.7,85.0,61.06,29.843
2026-04-12T02:17:00.000Z,65.5,86.0,61.2,29.837
2026-04-12T02:23:00.000Z,65.3,86.0,61.0,29.84
2026-04-12T02:29:00.000Z,65.1,86.0,60.8,29.834
2026-04-12T02:35:00.000Z,64.8,87.0,60.83,29.84
2026-04-12T02:41:00.000Z,64.6,87.0,60.64,29.846
2026-04-12T02:47:00.000Z,64.2,88.0,60.57,29.837
2026-04-12T02:52:00.000Z,64.0,88.0,60.37,29.843
2026-04-12T02:59:00.000Z,63.9,89.0,60.59,29.849
2026-04-12T03:05:00.000Z,63.7,89.0,60.39,29.849
2026-04-12T03:11:00.000Z,63.5,90.0,60.51,29.846
2026-04-12T03:17:00.000Z,63.5,90.0,60.51,29.852
2026-04-12T03:23:00.000Z,63.1,90.0,60.12,29.849
2026-04-12T03:29:00.000Z,63.1,91.0,60.43,29.849
